Category,Location,Available,Contact Information,Company
machine learning,tampa,No,(813)2324648,Paradox
data scientist,sandiego,Yes,(619)4468283
software engineering,tampa,Yes,(813)3122468
machine learning,danang,Yes,0903232838
software engineering,danang,No,0945938453
machine learning,sandiego,Yes,000000000
artificial intelligence,tampa,Yes,(813)4567890
server,sandiego,Yes,(613)2345678
accounting,portland,No, 29283723823
chef manager,sandiego,Yes,(613)2225323
marketing,sydney,Yes,1927372829
machine learning,tampa,Yes,(813)1234565,AIjob