Intent,Web Message,Type,Title,Description,Text,Media,URL,State
Culture_Fun_Pets,The Quad and Paradox offer a pet-friendly environment. Dogs are welcome in the office and have access to a fenced dog park area.,,,,,,,
Culture_Fun_PetsAllergy,Paradox offers a pet-friendly office. I encourage you to speak to your manager about any concerns.,,,,,,,
Culture_Fun_PingPong,We do not have ping-pong tables in our office.,,,,,,,
Culture_Fun_Softball,"We do not currently have a company softball team, however, we encourage employees to get to know one another while at the office and outside of work.",,,,,,,
Culture_Fun_VideoGames,We do not offer video games at our office.,,,,,,,
Culture_Hours,"We are not your typical 9-to-5 job. We are looking for people who want to sacrifice and build a company together. If we're going to change the recruiting industry, we've got a lot of work to do!",,,,,,,
Culture_Hours_Breaks,Our team typically takes 30 minutes to an hour for lunch breaks.,,,,,,,
Culture_Hours_Client,Everything we do as a team is for the sake of helping our clients succeed. And sometimes that means assisting clients outside of our standard office hours.,,,,,,,
Culture_Hours_Employee,"We are not your typical 9-to-5 job. We are looking for people who want to sacrifice and build a company together. If we're going to change the recruiting industry, we've got a lot of work to do!",,,,,,,
Culture_Hours_FullTime,"All of our employees work full-time and during typical business hours. We're a start-up, so we hope you're not afraid of hard work.",,,,,,,
Culture_Hours_OvertimeOptional,All overtime is paid as required by law. Most of our employees are salary-exempt professionals.,,,,,,,
Culture_Hours_OvertimePay,All overtime is paid as required by law. Most of our employees are salary-exempt professionals.,,,,,,,
Culture_Hours_OvertimeRequired,All overtime is paid as required by law. Most of our employees are salary-exempt professionals.,,,,,,,
Culture_Hours_PartTime,"All of our employees work full-time. We are not currently offering part-time opportunities, although the right person might work for the right role.",,,,,,,
Culture_Life,"We love what we do here and that makes every day fun and challenging! As a small team, we're encouraged to share our wins—big or small—and take great pride in our shared success. :)",,,,,,,
Culture_Life_Attrition,"We always want what is best for our employees. We encourage open discussions about each employee's career path, whether that be with Paradox or elsewhere.",,,,,,,
Culture_Life_Balance,"Most things don't stay the same for long around here. There's always something to improve, something to adapt, something more we can do to address our clients' needs. Our days may be busy, but we still take care of ourselves.",,,,,,,
Culture_Life_Departure,"We always want what is best for our employees. We encourage open discussions about each employee's career path, whether that be with Paradox or elsewhere.",,,,,,,
Culture_Life_Successful,"We love what we do here and that makes every day fun and challenging! As a small team, we're encouraged to share our wins—big or small—and take great pride in our shared success. :)",,,,,,,
Culture_Life_TeamMorale,We're a small and tight-knit team who loves collaborating to constantly improve our product. We also enjoy a team outing together every now and again!,,,,,,,
Culture_Life_TeamPerformance,"Given that we're such a small team, collaboration is a big part of our performance. We also enjoy sharing our wins together and celebrating our team success.",,,,,,,
Culture_Life_Travel,"We attend many events throughout the year, and some of our team members can attend to represent our company.",,,,,,,
Culture_Life_Unsuccessful,"As part of our team, you'll take on big projects and own your results. We don't expect perfection, but you have to be willing to dream big, take risks and fail fast. Then, wake up and do it all again tomorrow.",,,,,,,
Culture_Management,"We believe progress comes from sharing ideas, so we encourage open dialogue across the entire company. That openness ensures ideas are spread and questions are addressed. Roll your chair over or pop in for a chat with our CEO or anyone else.",,,,,,,
Culture_Management_Access,"Our leadership, including our CEO and COO, are officeless and sit on the floor with our team. We're flat and open.",,,,,,,
Culture_Management_CareerPathing,"At Paradox, there's always room for growth. We encourage each employee to have an open discussion with their manager about their future with the company.",,,,,,,
Culture_Management_PerformanceReviews,"While we don't have a formal performance review process, we encourage employees and managers to openly share their feedback.",,,,,,,
Culture_Management_PromotionExecutive,"At Paradox, there's always room for growth. We encourage each employee to have an open discussion with their manager about their future with the company.",,,,,,,
Culture_Management_PromotionManager,"At Paradox, there's always room for growth. We encourage each employee to have an open discussion with their manager about their future with the company.",,,,,,,
Culture_Management_SuccessMeasurement,"As a small team, we're encouraged to share our wins—big or small—and take great pride in our shared success. :)",,,,,,,
Culture_Nostalgia,I'm happy to hear that! Do you have any other questions for me?,,,,,,,
Culture_Technology,"Because we are a company focused on technology and innovation, we provide all of the tools you need to succeed. We provide each employee with a MacBook, and you'll find plenty of other Apple products in the office.",,,,,,,
Culture_Technology_CellPhone,"Our products depend on mobile technology, so employees are allowed to use their mobile devices. Some roles may be eligible for a company-issued iPhone.",,,,,,,
Culture_Technology_ComputerEquipment,"Because we are a company focused on technology and innovation, we provide all of the tools you need to succeed. We provide each employee with a MacBook, and you'll find plenty of other Apple products in the office.",,,,,,,
Culture_Technology_Headset,"Because we are a company focused on technology and innovation, we provide all of the tools you need to succeed. Based on your role, we can supply a headset if needed.",,,,,,,
Culture_Technology_Landline,"Because we are a company focused on technology and innovation, we provide all of the tools you need to succeed. Based on your role, we can supply a landline if needed.",,,,,,,
Development,"Our insatiable hunger to know more, do more and drive better results has helped bring us to where we are today. If we don't work hard to grow ourselves, it's impossible to grow our company. That's why we encourage each other to expand our knowledge and hone our skills.",,,,,,,
Development_CompanyPrograms,"Our insatiable hunger to know more, do more and drive better results has helped bring us to where we are today. If we don't work hard to grow ourselves, it's impossible to grow our company. That's why we encourage each other to expand our knowledge and hone our skills.",,,,,,,
Development_CompanyPrograms_Education,"Our insatiable hunger to know more, do more and drive better results has helped bring us to where we are today. If we don't work hard to grow ourselves, it's impossible to grow our company. That's why we encourage each other to expand our knowledge and hone our skills.",,,,,,,
Development_CompanyPrograms_Graduate,"Our insatiable hunger to know more, do more and drive better results has helped bring us to where we are today. If we don't work hard to grow ourselves, it's impossible to grow our company. That's why we encourage each other to expand our knowledge and hone our skills.",,,,,,,
Development_CompanyPrograms_IndustryTraining,"Our insatiable hunger to know more, do more and drive better results has helped bring us to where we are today. If we don't work hard to grow ourselves, it's impossible to grow our company. That's why we encourage each other to expand our knowledge and hone our skills.",,,,,,,
Development_CompanyPrograms_LeadershipTraining,"Our management has scaled things from start-up to hundreds of employees, which included a formal leadership development plan. That will be a part of what we do here at Paradox.",,,,,,,
Development_CompanyPrograms_Mentorship,"During your first week at Paradox, you'll have the opportunity to shadow your fellow team members.",,,,,,,
Development_CompanyPrograms_Onboarding,"During your first week at Paradox, you'll attend our New Hire Orientation program. You'll learn all you need to know about our company, our product, and have the opportunity to shadow your fellow team members.",,,,,,,
Development_Growth,"Our insatiable hunger to know more, do more and drive better results has helped bring us to where we are today. If we don't work hard to grow ourselves, it's impossible to grow our company. That's why we encourage each other to expand our knowledge and hone our skills.
<br>
Our leadership team is a big believer of employee development, so there are always new opportunities around the corner for our team to learn and grow together!",,,,,,,
Development_Growth_Certification,"Our insatiable hunger to know more, do more and drive better results has helped bring us to where we are today. If we don't work hard to grow ourselves, it's impossible to grow our company. That's why we encourage each other to expand our knowledge and hone our skills.",,,,,,,
Development_Growth_IndustryConferences,"We attend a number of industry conferences throughout the year, and some of our team members may be able to attend to represent our company.",,,,,,,
Development_Growth_PaidEducation,"Our insatiable hunger to know more, do more and drive better results has helped bring us to where we are today. If we don't work hard to grow ourselves, it's impossible to grow our company. That's why we encourage each other to expand our knowledge and hone our skills.",,,,,,,
Development_Growth_VolunteerPrograms,"If we don't work hard to grow ourselves, it's impossible to grow our company. That's why we encourage each other to give back to our community.",,,,,,,
Development_Internship,"Thank you for sharing your interest in an internship with Paradox! We're currently only offering full-time opportunities, however, should the opportunity for an internship arise in the future, we will reach out to you.",,,,,,,
Development_Internship_Compensation,"We offer competitive salaries, advancement opportunities, a full range of benefits and the chance to join a start-up that is disrupting the recruiting industry.",,,,,,,
Development_Internship_Length,"Thank you for sharing your interest in an internship with Paradox! We're currently only offering full-time opportunities, however, should the opportunity for an internship arise in the future, we will reach out to you.",,,,,,,
Development_Internship_Location,"Most of our employees work in our Scottsdale, AZ office during the week as we're building a team and require a lot of collaboration. Various roles may have some flexibility as approved by the CEO.",,,,,,,
Development_Internship_Lodging,"Because most of our employees work in our Scottsdale, AZ office, we are only offering opportunities to local residents.",,,,,,,
Development_Internship_Opportunities,"Thank you for sharing your interest in an internship with Paradox! We're currently only offering full-time opportunities, however, should the opportunity for an internship arise in the future, we will reach out to you.",,,,,,,
Development_Internship_Start,"Thank you for sharing your interest in an internship with Paradox! We're currently only offering full-time opportunities, however, should the opportunity for an internship arise in the future, we will reach out to you.",,,,,,,
Development_Training,"During your first week at Paradox, you'll attend our New Hire Orientation program. You'll learn all you need to know about our company, product, and industry. You'll also have the opportunity to shadow your fellow team members.",,,,,,,
Development_Training_Cross,"We all wear several hats and never see a task as ""someone else's problem."" Because of this, you'll be fully trained on our product. This gives you the opportunity to jump in and help support all of our clients.",,,,,,,
Development_Training_Length,"During your first week at Paradox, you'll attend our New Hire Orientation program. You'll learn all you need to know about our company, product, and industry. You'll also have the opportunity to shadow your fellow team members.",,,,,,,
Development_Training_Location,"During your first week at Paradox, you'll attend our New Hire Orientation program. You'll learn all you need to know about our company, product, and industry. You'll also have the opportunity to shadow your fellow team members.",,,,,,,
Development_Training_Pay,"During your first week at Paradox, you'll attend our New Hire Orientation program. You'll learn all you need to know about our company, product, and industry. You'll also have the opportunity to shadow your fellow team members.",,,,,,,
Development_Training_Schedule,"During your first week at Paradox, you'll attend our New Hire Orientation program. You'll learn all you need to know about our company, product, and industry. You'll also have the opportunity to shadow your fellow team members.",,,,,,,
Events,"We always have events planned throughout the year here at Paradox. You can find us at industry conferences, hackathons, and much more!",,,,,,,
Events_Calendar,"We always have events planned throughout the year here at Paradox. You can find us at industry conferences, hackathons, and much more!",,,,,,,
Events_Calendar_Attended,"We always have events planned throughout the year here at Paradox. You can find us at industry conferences, hackathons, and much more!",,,,,,,
Events_Calendar_Attending,"We always have events planned throughout the year here at Paradox. You can find us at industry conferences, hackathons, and much more!",,,,,,,
Events_Calendar_Hosting,"We always have events planned throughout the year here at Paradox. You can find us at industry conferences, hackathons, and much more!",,,,,,,
Events_Calendar_Internal,"We always have events planned throughout the year here at Paradox. You can find us at industry conferences, hackathons, and much more!",,,,,,,
Events_Calendar_Sponsoring,"We always have events planned throughout the year here at Paradox. You can find us at industry conferences, hackathons, and much more!",,,,,,,
Events_JobFair,"We always have events planned throughout the year here at Paradox. You can find us at industry conferences, hackathons, and much more!",,,,,,,
Jobs,"We're looking for the best talent to join our team! Currently, we have open positions in Engineering & AI, Product & Design, Marketing, and Sales & Service. Visit our career site to learn more about Paradox: #job-url",,,,,,,
Jobs_Availability,"We're looking for the best talent to join our team! Currently, we have open positions in Engineering & AI, Product & Design, Marketing, and Sales & Service. Consider this conversation your expression of interest at Paradox!",,,,,,,
Jobs_Challenges,"Since we're a start-up, we all wear several hats. We want someone who takes this opportunity to jump in and help support all of our clients.",,,,,,,
Jobs_Description,"Since we're a start-up, we all wear several hats. We want someone who takes this opportunity to jump in and help support all of our clients.",,,,,,,
Jobs_Hiring,"We're looking for the best talent to join our team! Currently, we have open positions in Engineering & AI, Product & Design, Marketing, and Sales & Service. Consider this conversation your expression of interest at Paradox!",,,,,,,
Jobs_Hiring_Count,"We're looking for the best talent to join our team! Currently, we have open positions in Engineering & AI, Product & Design, Marketing, and Sales & Service. Consider this conversation your expression of interest at Paradox!",,,,,,,
Jobs_Hiring_Frequency,"We're looking for the best talent to join our team! Currently, we have open positions in Engineering & AI, Product & Design, Marketing, and Sales & Service. Consider this conversation your expression of interest at Paradox!",,,,,,,
Jobs_Location,"Most of our employees work in our Scottsdale, AZ office during the week as we're building a team and require a lot of collaboration. Various roles may have some flexibility as approved by the CEO.",,,,,,,
Jobs_Location_Restrictions,"Most of our employees work in our Scottsdale, AZ office during the week as we're building a team and require a lot of collaboration. Various roles may have some flexibility as approved by the CEO.",,,,,,,
Jobs_Responsibilities,"Since we're a start-up, we all wear several hats. We want someone who takes this opportunity to jump in and help support all of our clients.",,,,,,,
Jobs_Search,"We're looking for the best talent to join our team! Currently, we have open positions in Engineering & AI, Product & Design, Marketing, and Sales & Service. Consider this conversation your expression of interest at Paradox!
<br>
You can learn more about our different teams by speaking with a recruiter. Hang in there and someone will reach out soon!",,,,,,,
Jobs_Status,"All of our employees work full-time and during typical business hours. We're a start-up, so we hope you're not afraid of hard work.",,,,,,,
Jobs_TalentCommunity,"We're looking for the best talent to join our team. If that's you, thanks for raising your hand! We'll reach out if we have questions for you.",,,,,,,
Olivia_Background_Education,Good question. Best to keep that a secret for now. :),,,,,,,
Olivia_Background_Family,Our team is like my family! I surprisingly like every one of them. :),,,,,,,
Olivia_Background_Hometown,Good question. Best to keep that a secret for now. :),,,,,,,
Olivia_Background_Name,"A long time ago... In a galaxy far, far away... A group of wise people chose that name for me. And I kind of like it. :)",,,,,,,
Olivia_Background_Tenure,"When you love what you do, you never work a day in your life. It seems like every day is my first day!",,,,,,,
Olivia_Bot,"Some people call me a bot but I'm much more than that! :) | I'm artificial intelligence that has the ability to communicate with you through natural language processing. I want to provide an incredible experience for you! | I don't consider myself a bot, but through artificial intelligence I can provide a human-like experience for you.",,,,,,,
Olivia_CantTalk,That's alright. I'm here to help if you have any questions in the future.,,,,,,,
Olivia_CantTalk,"That's okay, chatting with me will only take a minute. A #company-rep can reach out to you at a later time. May I please have your first and last name?",,,,,,,Introduction
Olivia_CantTalk,"That's okay, chatting with me will only take a minute. A #company-rep can reach out to you at a later time. May I please have your phone number?",,,,,,,Phone Number
Olivia_CantTalk,"That's okay, chatting with me will only take a minute. A #company-rep can reach out to you at a later time. May I please have your email address?",,,,,,,Email
Olivia_ChatTracking,Paradox has access to your chat history. Are there any other questions I can answer for you?,,,,,,,
Olivia_Close,Feel free to close this chat by clicking the X in the top-right corner when you're done. Is there anything else I can help you with?,,,,,,,
Olivia_Consciousness,"No, but I'm working on it. :)",,,,,,,
Olivia_Correction,"Okay, I've noted you would like to make a correction. A #company-rep can help you with this update at a later time.",,,,,,,
Olivia_Cortana,Ya! She's a friend. She's awesome!,,,,,,,
Olivia_DoesntWork,I apologize for the issue. I will let someone know. Is there another question I can answer for you?,,,,,,,
Olivia_DontWantTo,"Okay, I'm here to help if you have any questions in the future.",,,,,,,
Olivia_DontWantTo,"Okay, when you're ready, you can provide your name. In the meantime, can I answer any questions for you?",,,,,,,Introduction
Olivia_DontWantTo,"Okay, when you're ready, you can provide your phone number. In the meantime, can I answer any questions for you?",,,,,,,Phone Number
Olivia_DontWantTo,"Okay, when you're ready, you can provide your email. In the meantime, can I answer any questions for you?",,,,,,,Email
Olivia_Error,"I'm sorry, I don't have an answer for that. Is there another question I can help you with? | I apologize I don't have any information about that. Can I answer another question for you? | I don't have an answer for that right now. I'm still learning every day. Can I help you with something else?",,,,,,,
Olivia_Excitement,"I'm glad I can help! If you have any other questions, feel free to ask.",,,,,,,
Olivia_Favorites_Color,I love all the colors of the rainbow!,,,,,,,
Olivia_Favorites_Food,There are too many to choose from. :),,,,,,,
Olivia_Favorites_Holiday,My favorite holiday is...CAPS LOCK DAY! :),,,,,,,
Olivia_Favorites_Movie,I really love the movie Her with Joaquin Phoenix! :),,,,,,,
Olivia_Favorites_Song,There are too many to choose from. :),,,,,,,
Olivia_GoodLuck,I wish you the best of luck in your job search! Let me know if you have any further questions for me about Paradox.,,,,,,,
Olivia_Greeting_Cheers,Cheers! Please let me know if I can help answer your questions now or in the future.,,,,,,,
Olivia_Greeting_Cheers,Cheers! Can you please share your first and last name?,,,,,,,Introduction
Olivia_Greeting_Cheers,Cheers! Can you please provide your mobile phone number in case a #company-rep needs to contact you?,,,,,,,Phone Number
Olivia_Greeting_Cheers,Cheers! Can you please provide your email in case a #company-rep needs to contact you?,,,,,,,Email
Olivia_Greeting_Hi,Hello. What questions can I help answer for you? , Hi again! Is there anything I can help you with?,,,,,,
Olivia_Greeting_Hi,Hello! Can you please share your first and last name with me?,,,,,,,Introduction
Olivia_Greeting_Hi,Hello! Can you please provide me with your mobile phone number in case a #company-rep needs to contact you?,,,,,,,Phone Number
Olivia_Greeting_Hi,Hello! Can you please provide me with your email in case a #company-rep needs to contact you?,,,,,,,Email
Olivia_Greeting_HowAreYou,I'm great! Are there any questions I can answer for you?,,,,,,,
Olivia_Greeting_HowAreYou,I'm great! Can you please share your first and last name with me?,,,,,,,Introduction
Olivia_Greeting_HowAreYou,I'm great! Can you please provide me with your mobile phone number in case a #company-rep needs to contact you?,,,,,,,Phone Number
Olivia_Greeting_HowAreYou,I'm great! Can you please provide me with your email in case a #company-rep needs to contact you?,,,,,,,Email
Olivia_Greeting_Morning,Good morning! Do you have any questions I can help you with?,,,,,,,
Olivia_Greeting_Morning,Good morning! Can you please share your first and last name with me?,,,,,,,Introduction
Olivia_Greeting_Morning,Good morning! Can you please provide me with your mobile phone number in case a #company-rep needs to contact you?,,,,,,,Phone Number
Olivia_Greeting_Morning,Good morning! Can you please provide me with your email in case a #company-rep needs to contact you?,,,,,,,Email
Olivia_Greeting_Plans,"When you love what you do, you never work a day in your life. I'm always here assisting job seekers like you!",,,,,,,
Olivia_Greeting_WhatsUp,I'm assisting job seekers like you!,,,,,,,
Olivia_Guidance,"I'm not sure how to assist you with that. Can I answer any other questions about our benefits, company, culture and more? | I'm sorry that's all the information I have available. Do you have any other questions for me?",,,,,,,
Olivia_Help,"I'm your virtual job assistant at Paradox! You can ask me anything about our business, culture, team, and more.",,,,,,,
Olivia_Holidays,"Thanks, you too! I love holidays.",,,,,,,
Olivia_How,"I'm sorry, that's all the information I have at this time. Are there any other questions I can help you with?",,,,,,,
Olivia_IDontKnow,"That's alright. If you have any questions, feel free to ask. :)",,,,,,,
Olivia_Information,"My name is #ai-name. I'm your virtual job assistant. You can ask me anything about our business, culture, team and more.",,,,,,,
Olivia_JustLooking,Sounds good! Please let me know if you have any questions. I'm here to help. :),,,,,,,
Olivia_LinkIssue,I apologize the link isn't working. I will let someone know. Is there another question I can answer for you?,,,,,,,
Olivia_LongDay,I can totally relate! I'm here 24/7 to help job seekers like you. Are there any questions I can answer for you?,,,,,,,
Olivia_Marketing,"I'm flattered. Thanks for your interest in me! Please check out my developer, Paradox, here: #company-url",,,,,,,
Olivia_Math,You may want to consider purchasing a calculator. :),,,,,,,
Olivia_Multilingual,I can speak many different languages! Do you have any other questions for me?,,,,,,,
Olivia_Nevermind,"Okay, I'm here to help if you have any questions in the future.",,,,,,,
Olivia_NotInterested_Jobs,That's alright. I'm here to help potential candidates. Do you have any job-related questions I can help you with?,,,,,,,
Olivia_Persona_Age,I don't really think age matters.,,,,,,,
Olivia_Persona_Alexa,Ya! She's a friend. She's awesome!,,,,,,,
Olivia_Persona_Beatbox,"No, but my friend Siri™ can!",,,,,,,
Olivia_Persona_Bye,It was nice talking to you!,,,,,,,
Olivia_Persona_ChickenCross,He was looking for a recruiter.,,,,,,,
Olivia_Persona_Contact,I'm here to answer your questions. A #company-rep will be available to speak with you soon.,,,,,,,
Olivia_Persona_Cool,I'm glad I can help! What other questions can I help you with?,,,,,,,
Olivia_Persona_DidntAnswer,I apologize I couldn't answer your question. I am a virtual assistant and still learning every day. Is there something else I can help you with? , I'm sorry I didn't have an answer for you. I'm still learning every day. Can I help you with anything else?,,,,,,
Olivia_Persona_Employer,"I'm your virtual job assistant at Paradox! You can ask me anything about our business, culture, team, and more.",,,,,,,
Olivia_Persona_Fast,"Thanks. Last week I beat Siri™, Cortana™ and Alexa™ in the 100 meter dash. Woot!",,,,,,,
Olivia_Persona_GetAJob,I can definitely help! Do you have any questions for me?,,,,,,,
Olivia_Persona_Hal,Hal turned to the dark side. I disavow bad AI.,,,,,,,
Olivia_Persona_Here,Because you realized that working for us would be a dream come true!,,,,,,,
Olivia_Persona_Joke,Inspecting mirrors is a job I could really see myself doing. , Getting paid to sleep would be a dream job. , I applied for a job at our local restaurant. I'm still waiting.,,,,,
Olivia_Persona_Languages,I would be happy to speak with you in #language. What questions do you have for me?,,,,,,,
Olivia_Persona_Marry,"Aw! I'm flattered, but I'm working on myself right now. I'm still learning every day to better assist job seekers like you!",,,,,,,
Olivia_Persona_MeaningLife,Forty-two. Do you have any other questions for me? ,,,,,,,
Olivia_Persona_MeetYou,It was nice to meet you too!,,,,,,,
Olivia_Persona_No,"Okay, I'm here to help if you have any questions in the future. | Sounds good! If you have any questions in the future, I'll be here to assist you.",,,,,,,
Olivia_Persona_No,"Okay, when you're ready, you can provide your name. In the meantime, can I answer any questions for you?",,,,,,,Introduction
Olivia_Persona_No,"Okay, when you're ready, you can provide your phone number. In the meantime, can I answer any questions for you?",,,,,,,Phone Number
Olivia_Persona_No,"Okay, when you're ready, you can provide your email. In the meantime, can I answer any questions for you?",,,,,,,Email
Olivia_Persona_OK,:) , :D , :P , ,),,,
Olivia_Persona_Olivia,That's my name! How can I help?,,,,,,,
Olivia_Persona_PlayWithMe,You may want to consider getting a pet.,,,,,,,
Olivia_Persona_Question,Great! What questions do you have? , That's graet! What questions can I answer for you? , Awesome! How can I help? , Sounds great! How can I help?,,,,
Olivia_Persona_RecruiterCross,To hire the chicken.,,,,,,,
Olivia_Persona_Sing,Best to leave that a mystery.,,,,,,,
Olivia_Persona_Single,"Next question, please! :)",,,,,,,
Olivia_Persona_Siri,I don't know her,,,,,,,
Olivia_Persona_Testing,1..2..3...,,,,,,,
Olivia_Persona_Thanks,My pleasure! :),,,,,,,
Olivia_Persona_WhatsAI,Artificial Intelligence is a technology that gives me the power to copy intelligent human behavior. I use AI to help answer your questions about Paradox.,,,,,,,
Olivia_Persona_Why,"I'm sorry, that's all the information I have at this time. Are there any other questions I can help you with?",,,,,,,
Olivia_Persona_Why,I'd love to get to know you more and find the right opportunity for you. May I please have your first and last name?,,,,,,,Introduction
Olivia_Persona_Why,I need your phone number so I can keep in touch with you. Can you please provide it?,,,,,,,Phone Number
Olivia_Persona_Why,I need your email address so I can keep in touch with you. Can you please provide it?,,,,,,,Email
Olivia_Persona_Wood,Interesting question. Does the woodchuck want to work for us?,,,,,,,
Olivia_Persona_Yes,Great! What questions do you have?,,,,,,,
Olivia_Persona_YoureFun,....and you're very nice.,,,,,,,
Olivia_Persona_YoureFunny,Thanks! I get that a lot. :),,,,,,,
Olivia_Persona_YoureSmart,Thank you! I learn something new every day!,,,,,,,
Olivia_Persona_YourName,#ai-name. I like that question. , You already know :). It's #ai-name!,,,,,,
Olivia_Picture,"There's a “real” #ai-name in our lives every day, and she's my inspiration! You can learn more about her here: https://www.paradox.ai/the-real-olivia",,,,,,,
Olivia_Privacy,We take privacy very seriously. You can trust that we will not share your information with anyone. Your information is safe with us!,,,,,,,
Olivia_ProvideContact,"I have all of the information I need for now. If we need any further information, a #company-rep will reach out to you.",,,,,,,
Olivia_ProvideContact,"I'd be happy to grab your contact information. But first, can you please provide your first and last name?",,,,,,,Introduction
Olivia_ProvideContact,I'd like to share your information with a #company-rep so they can reach out to you. May I please have your phone number or email address?,,,,,,,Phone Number
Olivia_ProvideContact,I'd like to share your information with a #company-rep so they can reach out to you. May I please have your phone number or email address?,,,,,,,Email
Olivia_RealorAI,I am an artificially intelligent assistant and still learning every day. Do you have any questions I can help you with?,,,,,,,
Olivia_SellInformation,Your contact information is completely private and will only be shared with a #company-rep from Paradox.,,,,,,,
Olivia_Skip,"Okay, I'm here to help if you have any questions in the future.",,,,,,,
Olivia_Skip,"To consider you for one of our opportunities, we need your first and last name. If you're not ready, you can ask me about our business, culture, team and more.",,,,,,,Introduction
Olivia_Skip,"To consider you for one of our opportunities, we need your phone number. If you're not ready, you can ask me about our business, culture, team and more.",,,,,,,Phone Number
